doi
10.1021/ar900178k
10.1021/ar500303m
10.1021/ar900183k
10.1121/1.4996860
10.1121/1.3625257
10.1121/1.2721658
10.1121/1.4929492
10.1121/1.3021302
10.1121/1.3442574
10.1121/1.3455829
10.1121/1.413512
10.1121/1.1880712
10.1121/1.2912449
10.1121/1.4789898
10.1121/1.3147507
10.1121/1.1945487
10.1121/1.2747203
10.1121/1.4983663
10.1121/1.4796129
